model,description,status,saved_paths,rms,selected_reprojection_mean_px,dist_coeff_count,fx,fy,cx,cy,dist,model_quality_score,corner_reprojection_p95_px,edge_corner_reprojection_mean_px,radial_residual_mean_px,radial_residual_abs_mean_px,radial_r_max,radial_scale_min,radial_scale_max,radial_monotonic,radial_positive,radial_turn_count
standard5,"OpenCV k1,k2,p1,p2,k3",ok,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260623_103300.npz | C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260623_103300_standard5.npz,0.7442091070064714,0.36912695188075306,5,1352.548984357144,1352.6211868234489,969.8619655436867,532.8883387324212,0.186060231184 -0.605971089561 -0.000169221630023 -0.000761567320025 0.540381501079,5.021972718230964,0.7171264737844467,0.3578788148408285,0.01778654086587298,0.2516017098717313,0.8229137446834898,1.0,1.0173625669765665,False,True,2
no_k3,"OpenCV k1,k2,p1,p2 with k3 fixed to zero",ok,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260623_103300_no_k3.npz,0.8006700786671603,0.43434987869113684,5,1355.2058790187475,1355.2197204194915,975.1914715521334,539.7785108454253,0.112256389594 -0.240787854125 0.000814737598501 -0.000301597197459 0,3.301794545362882,0.8519378453493118,0.5648370899120843,-0.007878226093752449,0.3281836144423071,0.8224647264273268,0.9657553989355514,1.0130835622414465,False,True,1
rational8,"OpenCV rational model k1,k2,p1,p2,k3,k4,k5,k6",ok,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260623_103300_rational8.npz,0.7217542693731221,0.3369991209357977,14,1362.2512125959254,1362.1884291014348,970.8696317467148,533.4363109031871,-0.268951039997 21.8570743372 -0.000119378890496 -0.000672856984452 82.5473129884 -0.281947174636 20.8471541524 84.0332329223 0 0 0 0 0 0,3.0759158616095683,0.6531599014997482,0.3248247136378469,0.002105882329791291,0.21304975110137092,0.8175198251152215,1.0,1.012707090536237,False,True,1
