model,description,status,saved_paths,rms,selected_reprojection_mean_px,dist_coeff_count,fx,fy,cx,cy,dist,model_quality_score,corner_reprojection_p95_px,edge_corner_reprojection_mean_px,radial_residual_mean_px,radial_residual_abs_mean_px,radial_r_max,radial_scale_min,radial_scale_max,radial_monotonic,radial_positive,radial_turn_count
standard5,"OpenCV k1,k2,p1,p2,k3",ok,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260626_074600.npz | C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260626_074600_standard5.npz,0.4923356605352417,0.31885392889380454,5,1351.5099917616942,1351.9910560345413,976.7010756645557,540.6208110703855,0.18621567104 -0.611605826996 0.00206461293623 -0.00141879563739 0.564237400541,4.916302175615545,0.6615944743156431,0.3193504673668477,0.017434939497041176,0.2245032787154467,0.8259259981403971,1.0,1.0215322940418794,False,True,2
no_k3,"OpenCV k1,k2,p1,p2 with k3 fixed to zero",ok,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260626_074600_no_k3.npz,0.6377968114425189,0.45421066544950006,5,1349.5198969905578,1351.4561299985025,978.2234167603915,551.8083947784413,0.0919019235631 -0.184630318344 0.00255438373079 -0.00110570331912 0,3.3985140583816964,0.9268737912178037,0.5934573355901878,-0.017889169362488713,0.37123045770594787,0.831954000882187,0.9751591860412787,1.0114362634220497,False,True,1
rational8,"OpenCV rational model k1,k2,p1,p2,k3,k4,k5,k6",ok,C:\Users\domin\Documents\Studium\Master\Masterarbeit\Projekt\decaf\src\tracking\hydramarker\calib\hydramarker_camera_calibration_20260626_074600_rational8.npz,0.4653340337603596,0.28229883722960947,14,1356.5691837612987,1357.3119960124807,977.0596474662759,541.2752462202988,0.226811987434 13.298686507 0.00201165670715 -0.00116657371582 96.1021253633 0.1935603596 12.5264437823 97.0301504655 0 0 0 0 0 0,3.9720087247945273,0.6024364233016967,0.3066965938399894,0.002069976525358763,0.180621865830511,0.8232735937203703,1.0,1.0130226583876287,False,True,1
