label,frame,valid,rel_x_mm,rel_y_mm,rel_z_mm,abs_x_mm,abs_y_mm,abs_z_mm,point_count,inlier_count,reproj_mean_px,reproj_p95_px,centroid_u_px,centroid_v_px,span_u_px,span_v_px
logged,1631,1,-0.0023133940824209276,0.0058387512666087105,0.07719169120741753,92.97676363091205,44.08188547057739,-140.95520881632387,52,,0.732,1.887,1551.617,693.567,132.62,279.194
logged,1632,1,0.012324732086341328,0.014169428201839196,0.07354133724254552,92.99140175708081,44.09021614751262,-140.95885917028875,52,,0.732,1.902,1551.705,693.596,132.636,279.18
logged,1633,1,0.002817203109145794,0.015390908402480363,0.035737701453570025,92.98189422810361,44.09143762771326,-140.99666280607772,52,,0.726,1.906,1551.739,693.644,132.661,279.19
logged,1634,1,-0.04619458910839569,0.013656226960748086,-0.05134751602864185,92.93288243588607,44.08970294627153,-141.08374802355993,54,,0.702,1.875,1553.132,689.03,132.671,279.232
logged,1635,1,0.03267380280495047,-0.013699885495427111,0.09236198215532454,93.01175082779942,44.062346833815354,-140.94003852537597,54,,0.713,1.954,1553.167,688.999,132.728,279.153
logged,1636,1,0.05165416330757466,-0.00015962751705700384,0.13445007226494,93.03073118830204,44.075887091793724,-140.89795043526635,54,,0.714,1.923,1553.126,689.052,132.703,279.11
logged,1637,1,0.04958516008699121,-0.027008282887393875,0.12323093992418421,93.02866218508146,44.04903843642339,-140.9091695676071,54,,0.717,1.907,1553.099,688.798,132.746,279.161
logged,1638,1,0.03665206507207586,-0.030194988632324282,0.11915909024256166,93.01572909006654,44.04585173067846,-140.91324141728873,54,,0.722,1.934,1553.05,688.806,132.75,279.11
logged,1639,1,0.03611332782030274,-0.04331006642824775,0.11418872842673977,93.01519035281477,44.032736652882534,-140.91821177910455,54,,0.683,1.914,1553.044,688.859,132.505,279.254
logged,1640,1,0.04351484694672081,-0.00502848042768278,0.10713623327231403,93.02259187194119,44.0710182388831,-140.92526427425898,54,,0.703,1.87,1553.151,689.039,132.556,279.139
logged,1641,1,0.015767546598837612,-0.028226230660543195,0.05305341060616797,92.9948445715933,44.04782048865024,-140.97934709692512,54,,0.696,1.842,1553.108,688.887,132.553,279.224
logged,1642,1,0.07337598328477668,-0.052509602063693706,0.1867343213447441,93.05245300827924,44.02353711724709,-140.84566618618655,54,,0.697,1.838,1553.067,688.872,132.366,279.073
logged,1643,1,0.046964143348404264,-0.029114084164874043,0.1481848148184497,93.02604116834287,44.04693263514591,-140.88421569271284,54,,0.686,1.879,1553.074,688.92,132.452,279.181
logged,1644,1,0.05331003992242245,-0.05638200255680914,0.16975308371615938,93.03238706491689,44.01966471675397,-140.86264742381513,54,,0.708,1.869,1553.024,688.782,132.422,279.082
logged,1645,1,0.016365276100060555,-0.06903257574602151,0.13490990039292683,92.99544230109453,44.00701414356476,-140.89749060713837,54,,0.704,1.821,1552.939,688.701,132.411,279.138
logged,1646,1,0.03185263578887998,-0.09945518648163443,0.1571721205404515,93.01092966078335,43.97659153282915,-140.87522838699084,54,,0.713,1.829,1552.926,688.581,132.709,279.111
logged,1647,1,0.014383065316508237,-0.08443619753145981,0.08523295124848573,92.99346009031098,43.99161052177932,-140.9471675562828,54,,0.73,1.823,1552.892,688.633,132.589,279.13
logged,1648,1,0.04455203969348531,-0.15456979777823676,0.19901832421643917,93.02362906468795,43.921476921532545,-140.83338218331485,54,,0.718,1.823,1552.787,688.417,132.519,278.99
logged,1649,1,0.015479681588203675,-0.20240583002070878,0.11955442037640296,92.99455670658267,43.87364088929007,-140.9128460871549,54,,0.708,1.808,1552.666,688.183,132.365,279.014
logged,1650,1,0.01170305581850073,-0.17930774597999743,0.13164638512344595,92.99078008081297,43.896738973330784,-140.90075412240785,52,,0.73,1.857,1551.21,692.853,132.323,279.032
logged,1651,1,-0.00989867047363191,-0.21610642157174453,0.12787505964141133,92.96917835452084,43.85994029773904,-140.90452544788988,52,,0.72,1.86,1551.093,692.676,132.348,279.014
logged,1652,1,0.005353669245124593,-0.21687882089469213,0.14536132660691692,92.98443069423959,43.85916789841609,-140.88703918092438,52,,0.73,1.848,1551.097,692.688,132.271,278.977
logged,1653,1,0.11626024410838909,-0.37892795848831895,0.26055164155243915,93.09533726910286,43.69711876082246,-140.77184886597885,54,,0.705,1.777,1552.352,687.645,131.762,278.683
logged,1654,1,0.11200019822527452,-0.5268641720063556,0.2493834394131511,93.09107722321974,43.549182547304426,-140.78301706811814,54,,0.723,1.773,1552.157,687.023,131.233,278.536
logged,1655,1,0.30491030439475253,-1.0473931296515104,0.5064773817582306,93.28398732938922,43.02865358965927,-140.52592312577306,54,,0.723,1.787,1551.959,685.025,130.918,278.027
logged,1656,1,0.34785769361552354,-1.4546850091155434,0.5677460253026254,93.32693471860999,42.62136171019524,-140.46465448222867,54,,0.709,1.772,1551.844,683.332,131.114,277.834
logged,1657,1,0.37528285495451996,-2.109638535482574,0.5160378168158388,93.35435987994899,41.96640818382821,-140.51636269071545,54,,0.687,1.715,1551.652,680.352,131.372,277.765
logged,1658,1,0.4146374573850551,-2.3925154227137497,0.5230293787255675,93.39371448237952,41.68353129659703,-140.50937112880572,54,,0.669,1.657,1551.419,679.116,131.103,277.679
logged,1659,1,0.4031979629377389,-2.8999122163388833,0.4738803015650035,93.3822749879322,41.1761345029719,-140.5585202059663,54,,0.648,1.593,1550.991,676.885,130.95,277.533
logged,1660,1,0.46351605013909136,-3.142137022289276,0.5278605918444725,93.44259307513356,40.933909697021505,-140.50453991568682,54,,0.634,1.626,1550.775,675.988,131.084,277.316
logged,1661,1,0.6104141723852194,-4.090371007521483,0.8719045584116429,93.58949119737969,39.9856757117893,-140.16049594911965,54,,0.629,1.588,1549.956,672.235,130.784,276.596
logged,1662,1,0.6282435195111589,-4.649590371579677,0.9221222569191525,93.60732054450563,39.426456347731104,-140.11027825061214,54,,0.62,1.527,1549.518,669.862,130.828,276.313
logged,1663,1,0.5806101125573804,-5.522385035475033,0.6483860093782141,93.55968713755185,38.55366168383575,-140.38401449815308,55,,0.643,1.405,1549.907,668.028,133.749,276.021
logged,1664,1,0.4344120671698306,-5.7944133011572205,0.32314493848647885,93.4134890921643,38.28163341815356,-140.7092555690448,55,,0.613,1.423,1549.614,666.532,133.323,276.375
logged,1665,1,0.46094302098248363,-5.797853324404308,0.35429417170101374,93.44002004597695,38.278193394906474,-140.67810633583028,55,,0.619,1.422,1549.664,666.566,133.293,276.316
logged,1666,1,0.4537943198540688,-5.813811879053411,0.37303505230164546,93.43287134484854,38.26223484025737,-140.65936545522965,55,,0.604,1.335,1549.571,666.506,133.39,276.36
logged,1667,1,0.4269375814258467,-5.783220765059404,0.32118045418729935,93.40601460642031,38.29282595425138,-140.711220053344,55,,0.601,1.336,1549.616,666.559,133.407,276.373
logged,1668,1,0.39983291069279403,-5.7721903938190735,0.2672483882640222,93.37890993568726,38.30385632549171,-140.76515211926727,55,,0.609,1.392,1549.628,666.541,133.356,276.335
logged,1669,1,0.4238542840524673,-5.783076772924552,0.31489773633808227,93.40293130904693,38.29296994638623,-140.7175027711932,55,,0.615,1.397,1549.616,666.489,133.397,276.329
logged,1670,1,0.43753893528716503,-5.77825846833165,0.3035173030671672,93.41661596028163,38.29778825097913,-140.72888320446413,55,,0.602,1.417,1549.661,666.568,133.364,276.339
logged,1671,1,0.4187401040755958,-5.786800484978485,0.29328803639327816,93.39781712907006,38.289246234332296,-140.73911247113801,55,,0.616,1.441,1549.633,666.486,133.358,276.381
logged,1672,1,0.45190503434571383,-5.820613028464663,0.3597996842692339,93.43098205934018,38.25543369084612,-140.67260082326206,55,,0.599,1.397,1549.607,666.465,133.306,276.324
logged,1673,1,0.47679393685302784,-5.853598691041192,0.4065167967267769,93.4558709618475,38.22244802826959,-140.62588371080452,55,,0.6,1.42,1549.578,666.391,133.262,276.197
logged,1674,1,0.6735990691761202,-6.458041138408575,0.794271961375614,93.65267609417059,37.61800558090221,-140.23812854615568,55,,0.61,1.377,1549.187,664.186,133.14,275.674
logged,1675,1,0.7092034493108201,-6.883751120528828,0.8498087891424575,93.68828047430529,37.19229559878195,-140.18259171838884,55,,0.593,1.377,1548.784,662.446,133.088,275.365
logged,1676,1,0.7037668851812668,-7.3185860732456405,0.7906225773510016,93.68284391017573,36.75746064606514,-140.2417779301803,55,,0.603,1.347,1548.352,660.664,132.793,275.188
logged,1677,1,0.6845010798121223,-8.002151287256325,0.8405968401070254,93.66357810480659,36.07389543205446,-140.19180366742427,55,,0.586,1.305,1547.735,657.743,132.877,274.978
logged,1678,1,0.6854957118946885,-8.346851409087087,0.8657928063890381,93.66457273688916,35.729195310223695,-140.16660770114225,55,,0.567,1.262,1547.422,656.193,132.63,274.853
logged,1679,1,0.8331130025971163,-9.181151910231023,1.0626374387177009,93.81219002759158,34.89489480907976,-139.9697630688136,55,,0.565,1.253,1546.83,652.989,132.074,274.294
logged,1680,1,0.8576413771222491,-10.312143435675495,1.1949874603117507,93.83671840211672,33.76390328363529,-139.83741304721954,55,,0.557,1.206,1546.009,648.221,132.407,273.899
logged,1681,1,0.834429282384292,-10.84516853176595,1.1642393612541184,93.81350630737876,33.23087818754483,-139.86816114627717,55,,0.54,1.198,1545.613,645.906,132.475,273.759
logged,1682,1,0.8367612083963536,-11.980215658236745,1.1843536052470824,93.81583823339082,32.09583106107404,-139.8480469022842,55,,0.511,1.113,1544.671,641.038,132.327,273.291
logged,1683,1,0.796767339740839,-12.432147052416063,1.1078323309169207,93.7758443647353,31.64389966689472,-139.92456817661437,55,,0.499,1.093,1544.302,639.02,132.424,273.275
logged,1684,1,0.9020512840313017,-13.162326226372432,1.2073494902163304,93.88112830902577,30.91372049293835,-139.82505101731496,51,,0.458,1.013,1548.073,638.867,127.231,272.988
logged,1685,1,0.871227391150569,-13.764649296200837,1.0627161359021784,93.85030441614504,30.311397423109945,-139.9696843716291,53,,0.465,0.969,1545.585,637.836,126.775,272.75
logged,1686,1,0.8560354028119832,-13.975505682943165,1.0161566292435964,93.83511242780645,30.100541036367616,-140.0162438782877,53,,0.468,0.934,1545.339,636.805,126.253,272.707
logged,1687,1,1.0212365960770455,-14.5394393147105,1.3227808694880707,94.00031362107151,29.536607404600282,-139.70961963804322,55,,0.506,1.166,1542.551,630.177,131.023,272.199
logged,1688,1,0.9927689020668993,-15.492856707367217,1.296118803225653,93.97184592706137,28.583190011943564,-139.73628170430564,55,,0.458,0.915,1541.807,626.354,131.106,271.709
logged,1689,1,1.0296175769631049,-16.029721484493937,1.3371966103613318,94.00869460195757,28.046325234816845,-139.69520389716996,55,,0.454,0.883,1541.42,624.139,130.963,271.518
logged,1690,1,1.0770594216885598,-17.4504231190282,1.5856802858829155,94.05613644668303,26.62562360028258,-139.44672022164838,55,,0.455,0.849,1540.299,618.312,131.266,270.835
logged,1691,1,1.1019470911679718,-18.905142943302465,1.5082927108380488,94.08102411616244,25.170903776008316,-139.52410779669324,55,,0.431,0.826,1539.272,612.144,130.871,270.368
logged,1692,1,1.092947150492364,-19.536244523288733,1.5030204431414234,94.07202417548683,24.53980219602205,-139.52938006438987,55,,0.418,0.784,1538.684,609.472,130.698,270.032
logged,1693,1,1.19943375622546,-20.96262493771082,1.648225526222319,94.17851078121993,23.11342178159996,-139.38417498130897,52,,0.409,0.802,1539.261,609.913,125.227,269.361
logged,1694,1,1.2099483322769657,-22.249759516021843,1.5118582977302708,94.18902535727143,21.82628720328894,-139.52054220980102,52,,0.391,0.747,1538.132,604.487,124.498,268.869
logged,1695,1,1.112268456331691,-22.78210508275936,1.3656671919467271,94.09134548132616,21.29394163655142,-139.66673331558457,53,,0.385,0.699,1536.362,600.04,127.024,268.609
logged,1696,1,1.1195655842221868,-24.195421981039395,1.4618030175304568,94.09864260921665,19.880624738271386,-139.57059749000084,52,,0.397,0.788,1534.586,596.641,127.089,267.958
logged,1697,1,1.1804753346672499,-25.622166086181906,1.3930043202916238,94.15955235966172,18.453880633128875,-139.63939618723967,52,,0.365,0.649,1533.533,590.744,126.48,267.443
logged,1698,1,1.1420656534250924,-26.156206417840792,1.2595478833972322,94.12114267841956,17.91984030146999,-139.77285262413406,52,,0.359,0.648,1533.12,588.408,126.286,267.417
logged,1699,1,1.1198832521529596,-27.136983740196815,1.2490700484124204,94.09896027714743,16.939062979113967,-139.78333045911887,52,,0.351,0.658,1532.321,584.33,126.222,267.063
logged,1700,1,1.206669201079535,-28.378574726942634,1.3655218440207761,94.185746226074,15.697471992368147,-139.66687866351052,53,,0.352,0.694,1530.202,576.859,127.927,266.49
logged,1701,1,1.1986368433742314,-28.94996698631278,1.304798148797488,94.1777138683687,15.126079732998,-139.7276023587338,53,,0.356,0.696,1529.753,574.417,127.714,266.245
logged,1702,1,1.2339384113800094,-30.15886922953925,1.4093838343302707,94.21301543637448,13.917177489771532,-139.62301667320102,53,,0.359,0.701,1528.725,569.559,127.437,265.616
logged,1703,1,1.2462642191069904,-31.763489636279523,1.4572839881564335,94.22534124410146,12.312557083031258,-139.57511651937486,53,,0.368,0.727,1527.369,563.021,127.124,264.904
logged,1704,1,1.1711926113599986,-32.94264805127058,1.3022043761307316,94.15026963635447,11.1333986680402,-139.73019613140056,52,,0.342,0.681,1527.287,557.563,127.057,264.765
logged,1705,1,1.1760199512864915,-33.40018542048766,1.2726366139708034,94.15509697628096,10.675861298823122,-139.7597638935605,52,,0.348,0.664,1527.148,557.591,126.978,264.668
logged,1706,1,1.1610317373726673,-34.095561975588815,1.3062342338172925,94.14010876236713,9.980484743721966,-139.726166273714,50,,0.338,0.663,1529.034,559.259,120.288,264.559
logged,1707,1,1.2179421526494565,-34.62747707580981,1.4513842623736082,94.19701917764392,9.448569643500978,-139.58101624515768,50,,0.336,0.653,1528.74,557.143,120.355,264.157
logged,1708,1,1.2323893629915688,-35.83200345170606,1.5004096423677993,94.21146638798604,8.244043267604724,-139.5319908651635,51,,0.344,0.663,1526.663,550.646,122.729,263.701
logged,1709,1,1.117147317647138,-36.834006386502686,1.253230780723527,94.0962243426416,7.242040332808095,-139.77916972680777,53,,0.33,0.589,1523.555,541.831,127.14,263.57
logged,1710,1,1.1231446712284594,-37.52018157261716,1.2309004043098355,94.10222169622293,6.555865146693616,-139.80150010322146,53,,0.319,0.566,1522.999,539.092,126.838,263.359
logged,1711,1,1.1374023036987353,-37.95426384726931,1.3148664614350878,94.1164793286932,6.1217828720414715,-139.7175340460962,53,,0.331,0.63,1524.236,534.959,126.969,263.093
logged,1712,1,1.274500822173195,-39.38645233850558,1.5736813022044203,94.25357784716766,4.689594380805204,-139.45871920532687,54,,0.347,0.668,1523.902,527.153,126.789,262.242
logged,1713,1,1.2752842985744195,-40.70398956012593,1.4431437374591383,94.25436132356889,3.3720571591848447,-139.58925677007215,54,,0.338,0.65,1522.679,521.845,125.774,261.811
logged,1714,1,1.305431910778026,-41.375571053498554,1.4802842710824677,94.2845089357725,2.7004756658122275,-139.55211623644882,55,,0.354,0.648,1521.232,519.705,125.445,261.354
logged,1715,1,1.474389406460375,-43.25272798683926,1.7521026153193873,94.45346643145484,0.8233187324715239,-139.2802978922119,54,,0.363,0.682,1520.912,513.924,124.909,260.355
logged,1716,1,1.5406578387098477,-45.15391264004506,1.6419463204383078,94.51973486370431,-1.0778659207342756,-139.39045418709298,54,,0.36,0.692,1519.366,506.356,123.633,259.494
logged,1717,1,1.6421767031227432,-46.112836245920114,1.7541445301561112,94.62125372811721,-2.0367895266093328,-139.27825597737518,52,,0.362,0.717,1521.061,506.782,117.084,259.493
logged,1718,1,1.6980921440713388,-48.20730368546219,1.7259734783203555,94.6771691690658,-4.131256966151412,-139.30642702921094,52,,0.372,0.753,1519.354,498.413,116.359,258.424
logged,1719,1,1.7310567366893679,-49.2916580725871,1.7142304481955932,94.71013376168384,-5.215611353276316,-139.3181700593357,52,,0.376,0.754,1518.497,494.193,115.914,258.03
logged,1720,1,1.7550158345977707,-51.26862456575002,1.6641660243148237,94.73409285959224,-7.192577846439235,-139.36823448321647,51,,0.35,0.759,1518.035,485.961,115.507,257.391
logged,1721,1,1.7573460902677027,-52.90385511580324,1.5273390603011023,94.73642311526217,-8.827808396492458,-139.5050614472302,52,,0.355,0.71,1515.795,479.837,114.989,256.849
logged,1722,1,1.7442707290535395,-54.48197412289483,1.464003174854497,94.723347754048,-10.405927403584052,-139.5683973326768,52,,0.365,0.735,1514.546,473.535,114.663,256.326
logged,1723,1,1.7409740702175895,-55.282793245137285,1.4550664253684715,94.72005109521206,-11.206746525826503,-139.57733408216282,52,,0.351,0.679,1513.908,470.437,114.457,255.531
logged,1724,1,1.6664616852307574,-56.7892094012588,1.3468062338869515,94.64553871022522,-12.71316268194802,-139.68559427364434,54,,0.366,0.692,1510.455,461.223,118.049,254.951
logged,1725,1,1.6132216038823515,-58.09335575939557,1.1789438786769324,94.59229862887682,-14.01730904008479,-139.85345662885436,55,,0.358,0.683,1508.496,453.799,119.669,254.682
logged,1726,1,1.7008771535597162,-59.72735683256802,1.23504198454566,94.67995417855418,-15.651310113257239,-139.79735852298563,55,,0.388,0.744,1507.354,447.531,119.073,253.776
logged,1727,1,1.7109378988150468,-60.46000467850723,1.1467814880279832,94.69001492380951,-16.38395795919645,-139.8856190195033,54,,0.383,0.747,1507.671,443.978,118.961,253.617
logged,1728,1,1.6844419912517736,-61.623825596366686,1.0037086463172784,94.66351901624624,-17.547778877055904,-140.028691861214,55,,0.387,0.766,1505.891,439.852,118.483,253.247
logged,1729,1,1.554538097196513,-62.00021741505367,0.6897258806520199,94.53361512219098,-17.924170695742887,-140.34267462687927,55,,0.367,0.687,1505.493,437.874,118.275,253.766
logged,1730,1,1.6889125908028007,-63.080786374893144,0.8853561914412182,94.66798961579727,-19.004739655582362,-140.14704431609007,52,,0.359,0.693,1508.134,439.34,112.589,253.288
logged,1731,1,1.8061130333256727,-64.59077436821313,1.0627013811191546,94.78519005832014,-20.51472764890235,-139.96969912641214,52,,0.375,0.722,1507.011,433.829,112.12,252.446
logged,1732,1,1.7780775264847932,-65.37628666984276,0.9607286673929138,94.75715455147926,-21.30023995053198,-140.07167184013838,52,,0.389,0.712,1506.437,430.777,111.888,252.232
logged,1733,1,1.7496547762099368,-66.87270844321893,0.9738062601570618,94.7287318012044,-22.79666172390815,-140.05859424737423,52,,0.398,0.749,1505.366,425.044,111.902,251.839
logged,1734,1,1.6758716647262446,-68.2769795893821,0.8476333608745392,94.65494868972071,-24.200932870071313,-140.18476714665675,52,,0.339,0.679,1504.154,417.386,113.917,251.459
logged,1735,1,1.6114956059633556,-68.95095158410876,0.7558647748425926,94.59057263095782,-24.874904864797983,-140.2765357326887,55,,0.355,0.704,1500.56,411.364,117.493,251.209
logged,1736,1,1.5745617416314701,-70.29608391885554,0.6436823712124919,94.55363876662594,-26.220037199544755,-140.3887181363188,55,,0.354,0.707,1499.528,406.197,117.085,250.892
logged,1737,1,1.5038403507282965,-70.95223241000926,0.4989320951318348,94.48291737572276,-26.876185690698485,-140.53346841239946,55,,0.348,0.68,1499.172,403.485,117.356,250.934
logged,1738,1,1.415336368523242,-71.4605280123993,0.27923315174606955,94.39441339351771,-27.384481293088506,-140.75316735578522,55,,0.351,0.695,1498.736,401.013,117.294,250.792
logged,1739,1,1.371819442151434,-71.6906367323781,0.2271922629290941,94.3508964671459,-27.614590013067314,-140.8052082446022,55,,0.355,0.758,1498.535,400.122,117.283,250.75
logged,1740,1,1.3923875236885124,-72.31240526585076,0.2985073721637548,94.37146454868298,-28.236358546539975,-140.73389313536754,55,,0.374,0.75,1498.167,397.85,117.329,250.452
logged,1741,1,1.3700565314617847,-73.01833128710157,0.18489496391902094,94.34913355645625,-28.942284567790793,-140.84750554361227,55,,0.392,0.83,1497.58,395.112,116.956,250.19
logged,1742,1,1.4772233010539821,-73.55616720590575,0.41204647269512407,94.45630032604845,-29.48012048659497,-140.62035403483617,55,,0.346,0.645,1497.277,393.588,116.897,249.98
logged,1743,1,1.6486695945834668,-74.97256125466113,0.6663043478639281,94.62774661957793,-30.89651453535035,-140.36609615966736,55,,0.367,0.679,1496.268,388.85,116.125,249.066
logged,1744,1,1.642851979380353,-76.55403424989947,0.6967398647015557,94.62192900437482,-32.47798753058869,-140.33566064282974,55,,0.386,0.774,1495.015,383.139,115.823,248.618
logged,1745,1,1.624459235510244,-77.20204038219555,0.6028955282735637,94.60353626050471,-33.125993662884774,-140.42950497925773,55,,0.401,0.746,1494.505,380.681,115.528,248.454
logged,1746,1,1.5432557685611528,-77.86120186266419,0.3245860968454224,94.52233279355562,-33.78515514335341,-140.70781441068587,55,,0.367,0.718,1493.972,377.786,115.15,248.465
logged,1747,1,1.5899939876730969,-78.5726502289843,0.3611067887151762,94.56907101266756,-34.49660350967352,-140.67129371881612,55,,0.374,0.728,1493.586,375.166,115.022,248.149
logged,1748,1,1.6880429730708215,-79.12323440121153,0.536573212156668,94.66711999806529,-35.04718768190075,-140.49582729537462,53,,0.379,0.776,1495.121,374.538,114.859,247.858
logged,1749,1,1.5675139278114756,-80.0836710588147,0.3203183255508293,94.54659095280594,-36.00762433950391,-140.71208218198046,54,,0.387,0.748,1493.194,368.543,114.745,247.297
logged,1750,1,1.5732916983187408,-80.7719506136969,0.27258079629851295,94.55236872331321,-36.69590389438613,-140.75981971123278,55,,0.393,0.744,1491.909,366.488,114.445,247.025
