label,valid_frames,origin_frame,x_range_mm,y_range_mm,z_range_mm,final_z_mm,z_vs_y_slope_mm_per_100mm,pre_z_vs_y_slope_mm_per_100mm,step_z_mm,z_corr_centroid_v,z_corr_span_v,z_corr_reproj_mean,plane_a,plane_b,plane_angle_deg,plane_z_range_mm,plane_final_z_mm
logged,227,1597,1.8523076224340684,101.22142681826935,3.2463402994346495,-1.3353749715075764,1.1031607899898936,-0.00782493572680203,-0.662708513688699,0.5150752230566705,0.45009170604590454,-0.10798024651286853,0.0,0.011031607899898937,0.6320389357907148,2.6413009553612823,-0.22051067761894982
iterative,227,1597,1.4356141927305117,100.99275564087213,2.1444971997882476,-1.100883738279748,0.9778017661086259,0.457419477930796,-0.46022675737248164,0.7118948462877995,0.663976504785255,-0.3038804002701554,0.0,0.009778017661086259,0.5602212902564981,1.4561378565466785,-0.11542845005341595
