frame,solver,success,point_count,inlier_count,reproj_mean_px,reproj_median_px,reproj_p95_px,reproj_max_px,centroid_u_px,centroid_v_px,span_u_px,span_v_px,tvec_cam_x_mm,tvec_cam_y_mm,tvec_cam_z_mm,tvec_board_x_mm,tvec_board_y_mm,tvec_board_z_mm,error
1597,iterative,1,54,54,0.24191690040764968,0.21174511959069303,0.5102091535874348,0.7437265969676563,1553.1940533673321,688.8527165165654,132.8521728515625,279.10699462890625,114.79388151858478,6.698699293543603,323.15497542634773,94.45481697767113,44.165814159476945,-135.06576675343362,
1598,iterative,1,54,54,0.23935421891335545,0.2000654824119084,0.5191446618583279,0.7581963509167882,1553.201151529948,688.8942362467448,132.7706298828125,279.0596923828125,114.82709707663149,6.701994160673311,323.2062996341601,94.48919282359982,44.15198161677217,-135.01703005542967,
1599,iterative,1,54,54,0.24652815524909327,0.2012942899320489,0.5127138799250859,0.7460860737459984,1553.1856938114872,688.8527266890915,132.821533203125,279.121826171875,114.79982317779316,6.687796802033166,323.1541573553023,94.46109138503556,44.15615833246553,-135.070482015088,
1600,iterative,1,54,54,0.24292635396494816,0.21449850228898076,0.5369770980513495,0.7315180661587419,1553.1830421730324,688.8292247630932,132.7464599609375,279.097900390625,114.84076130841773,6.706252932089117,323.2464541341418,94.50372015319964,44.142239882792566,-134.97815477347788,
1601,iterative,1,54,54,0.24516845501278364,0.22028192844594152,0.62866156104296,0.7008833940017604,1553.2310723198784,688.8433747468172,132.7509765625,279.11956787109375,114.83124763079279,6.688142731963597,323.2133537126381,94.49397361507988,44.13670444259455,-135.01541723730887,
1602,iterative,1,54,54,0.24908824969343288,0.22134762626905344,0.5247932272873842,0.7257525367524302,1553.2625189887153,688.8644816080729,132.7879638671875,279.13592529296875,114.82352811282007,6.710595616086936,323.18337963510686,94.48476475896166,44.168013908124514,-135.03534416944245,
1603,iterative,1,53,53,0.23826366878929064,0.20647098233835073,0.479785075731667,0.7438091065458375,1552.5928264114093,690.8759051628832,132.747314453125,279.15130615234375,114.83442737748432,6.694771016815628,323.163874132953,94.49568204644632,44.16059538986268,-135.05933281149169,
1604,iterative,1,53,53,0.2368883300214447,0.22126235224218366,0.45148607565944554,0.7134327556257021,1552.5897953825177,690.9248737839033,132.77978515625,279.0833740234375,114.85149807536284,6.701199494179449,323.1926704771293,94.51325447940044,44.157049564804886,-135.0303397052434,
1605,iterative,1,53,53,0.2408342729446066,0.22158108214980432,0.5227053596272739,0.7027987739640916,1552.5805479805424,690.886656563237,132.8214111328125,279.1302490234375,114.80326386972952,6.667425142440738,323.1060013947357,94.46398190846769,44.15437282439916,-135.12277251373624,
1606,iterative,1,53,53,0.23832181159734278,0.20465931989114464,0.4798266570044242,0.7435513396948716,1552.5768144715507,690.9448783442659,132.8406982421875,279.06005859375,114.8709183633561,6.7128494462132355,323.23372825961695,94.53331267711275,44.15411868536529,-134.9880586323954,
1607,iterative,1,53,53,0.21931975093906833,0.18741704107651871,0.43274851357992145,0.5527867700320244,1552.545732606132,690.9721898492777,132.853759765625,279.11346435546875,114.82174388121778,6.708695052257522,323.15781480377507,94.48239841035092,44.175248087677886,-135.05988848175193,
