candidate_rank,frame_index,capture_time_s,used_for_calibration,selected_rank,score,num_charuco,num_aruco,corner_fraction,sharpness,centroid_u,centroid_v,centroid_u_norm,centroid_v_norm,bbox_area_norm,bbox_diag_norm,edge_margin_px,edge_margin_norm,radius_norm,corner_radius_norm_max,grid_col,grid_row,corner_grid_cells,edge_corners_lrtb,radius_bin,size_bin,selected_reprojection_mean_px
21,416,2.453000,0,,0.779186,48.000000,31.000000,1.000000,4576.805488,946.367001,479.448945,0.493156,0.444346,0.115822,0.327433,280.061371,0.259316,0.079300,0.401817,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
22,418,2.562000,0,,0.780209,48.000000,31.000000,1.000000,4826.574028,955.137615,487.846726,0.497727,0.452129,0.117786,0.329357,285.359131,0.264221,0.067777,0.391799,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
23,420,2.672000,0,,0.781742,48.000000,31.000000,1.000000,4056.027384,951.485469,495.354320,0.495824,0.459086,0.119377,0.331176,290.446991,0.268932,0.058161,0.388377,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
24,422,2.797000,0,,0.748532,44.000000,30.000000,0.916667,4560.244257,942.517091,512.392040,0.491150,0.474877,0.118265,0.331146,310.545227,0.287542,0.037670,0.370959,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,2,
25,424,2.906000,0,,0.787710,48.000000,31.000000,1.000000,4272.182987,951.171984,517.471748,0.495660,0.479585,0.125743,0.339676,306.642792,0.283929,0.029517,0.373603,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,
26,426,3.031000,0,,0.795156,48.000000,31.000000,1.000000,4799.338077,958.328791,520.591848,0.499390,0.482476,0.131237,0.345698,302.248291,0.279860,0.024797,0.376147,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,
27,428,3.156000,1,0,0.799258,48.000000,31.000000,1.000000,4255.468140,963.927963,532.488474,0.502307,0.493502,0.135510,0.349963,308.030426,0.285213,0.009752,0.366869,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,0.412054
28,430,3.265000,0,,0.778760,44.000000,30.000000,0.916667,3399.244236,974.917711,544.086110,0.508034,0.504250,0.139925,0.354296,304.887390,0.282303,0.012854,0.386822,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,
29,432,3.390000,0,,0.813715,48.000000,31.000000,1.000000,3128.971225,1001.240623,558.211680,0.521751,0.517342,0.147486,0.360982,277.179016,0.256647,0.039341,0.424764,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,
30,434,3.515000,0,,0.774752,42.000000,29.000000,0.875000,3229.986888,1037.095378,583.207539,0.540435,0.540507,0.142583,0.356166,255.499268,0.236573,0.080943,0.456680,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,
31,436,3.640000,0,,0.822199,48.000000,31.000000,1.000000,3304.949476,1045.678853,582.344654,0.544908,0.539708,0.154557,0.366695,237.949951,0.220324,0.084776,0.481326,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,1,3,
32,438,3.765000,0,,0.797980,44.000000,30.000000,0.916667,3400.937925,1068.942150,597.189563,0.557031,0.553466,0.159500,0.371703,215.284912,0.199338,0.110554,0.514311,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,2,3,
33,440,3.890000,0,,0.780861,41.000000,29.000000,0.854167,3288.138558,1088.874906,613.611488,0.567418,0.568685,0.165561,0.378047,195.822876,0.181317,0.136109,0.546015,3,2,2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
34,442,4.015000,0,,0.835179,48.000000,31.000000,1.000000,3428.680027,1120.130346,614.637888,0.583705,0.569637,0.169077,0.381670,184.115051,0.170477,0.153986,0.567860,4,2,2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
35,444,4.125000,0,,0.810249,44.000000,30.000000,0.916667,3354.794402,1150.404644,625.028517,0.599481,0.579266,0.171834,0.384581,170.244873,0.157634,0.179887,0.596103,4,2,2:3 3:1 3:2 3:3 4:1 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
36,446,4.250000,1,1,0.842685,48.000000,31.000000,1.000000,4090.718739,1172.176737,636.874004,0.610827,0.590245,0.170981,0.383618,158.760376,0.147000,0.202122,0.617900,4,2,3:1 3:2 3:3 4:1 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,0.275556
37,448,4.375000,0,,0.844651,48.000000,31.000000,1.000000,4116.873595,1181.371755,647.439867,0.615618,0.600037,0.168473,0.380877,150.587280,0.139433,0.216218,0.631009,4,3,3:1 3:2 3:3 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
38,450,4.484000,0,,0.817705,44.000000,30.000000,0.916667,4203.508476,1191.429335,662.158954,0.620859,0.613678,0.162627,0.374728,143.385864,0.132765,0.234648,0.645811,4,3,3:1 3:2 3:3 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
39,452,4.609000,0,,0.847731,48.000000,31.000000,1.000000,4310.545235,1199.663233,666.993702,0.625150,0.618159,0.160021,0.372588,143.962097,0.133298,0.243410,0.651540,4,3,3:1 3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
40,454,4.718000,0,,0.848659,48.000000,31.000000,1.000000,3866.496163,1216.312336,667.541532,0.633826,0.618667,0.157935,0.371250,148.822266,0.137798,0.252948,0.657730,4,3,3:1 3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
41,456,4.843000,0,,0.820115,44.000000,30.000000,0.916667,3882.343502,1230.438066,666.534844,0.641187,0.617734,0.156326,0.370389,154.327209,0.142896,0.259981,0.661879,4,3,3:1 3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
42,458,4.968000,0,,0.850066,48.000000,31.000000,1.000000,4120.816742,1248.278394,665.226123,0.650484,0.616521,0.153316,0.368388,161.735901,0.149755,0.269156,0.667109,4,3,3:1 3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
43,460,5.093000,0,,0.821120,44.000000,30.000000,0.916667,5002.393875,1261.086226,665.352296,0.657158,0.616638,0.148526,0.364072,169.123779,0.156596,0.276778,0.668576,4,3,3:1 3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
44,462,5.203000,0,,0.849819,48.000000,31.000000,1.000000,5061.802909,1264.221068,665.684546,0.658792,0.616946,0.143028,0.359480,177.316406,0.164182,0.278895,0.665458,4,3,3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
45,464,5.328000,1,2,0.844590,48.000000,31.000000,1.000000,5134.915719,1264.556563,660.937088,0.658966,0.612546,0.137043,0.354851,192.319275,0.178073,0.275452,0.655945,4,3,3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,0.327675
46,466,5.437000,0,,0.813292,44.000000,30.000000,0.916667,4912.235752,1268.263751,654.464689,0.660898,0.606547,0.136134,0.355250,202.064819,0.187097,0.272912,0.649526,4,3,3:2 3:3 3:4 4:2 4:3 4:4 5:2 5:3 5:4,0/0/0/0,2,3,
47,468,5.562000,0,,0.846596,48.000000,31.000000,1.000000,4796.801105,1278.213146,643.162343,0.666083,0.596073,0.142333,0.362249,206.914062,0.191587,0.271343,0.643973,4,2,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3,0/0/0/0,2,3,
48,470,5.672000,0,,0.817436,44.000000,30.000000,0.916667,5168.588734,1287.239853,639.981754,0.670787,0.593125,0.143749,0.363841,209.490479,0.193973,0.275101,0.644020,4,2,3:2 3:3 3:4 4:1 4:2 4:3 5:1 5:2 5:3,0/0/0/0,2,3,
49,472,5.797000,0,,0.817960,44.000000,30.000000,0.916667,5293.757024,1297.767523,640.886271,0.676273,0.593963,0.146411,0.366723,206.060364,0.190797,0.282493,0.647511,4,2,3:2 3:3 3:4 4:1 4:2 4:3 4:4 5:1 5:2 5:3 6:3,0/0/0/0,2,3,
50,474,5.906000,0,,0.818347,44.000000,30.000000,0.916667,5385.237576,1303.965005,642.211891,0.679502,0.595192,0.151269,0.371912,199.649048,0.184860,0.287341,0.650092,4,2,3:2 3:3 3:4 4:1 4:2 4:3 4:4 5:1 5:2 5:3 6:3,0/0/0/0,2,3,
51,476,6.015000,0,,0.818929,44.000000,30.000000,0.916667,5392.936094,1312.031748,644.627513,0.683706,0.597431,0.159533,0.380890,189.846802,0.175784,0.294077,0.653973,4,2,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3 6:3,0/0/0/0,2,3,
52,478,6.140000,0,,0.820032,44.000000,30.000000,0.916667,5210.781645,1322.864015,644.793129,0.689351,0.597584,0.161015,0.382516,189.765015,0.175708,0.301252,0.661326,4,2,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3 6:3,0/0/0/0,2,3,
53,480,6.250000,1,3,0.850673,48.000000,31.000000,1.000000,5528.599369,1335.499761,645.848643,0.695935,0.598562,0.159821,0.381250,190.538147,0.176424,0.310178,0.671153,4,2,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3 6:3,0/1/0/0,2,3,0.365630
54,482,6.359000,0,,0.822565,44.000000,30.000000,0.916667,5856.902256,1344.510368,647.877901,0.700631,0.600443,0.157910,0.379287,191.695068,0.177495,0.317306,0.678209,4,3,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3 6:2 6:3,0/1/0/0,2,3,
55,484,6.468000,0,,0.824115,44.000000,30.000000,0.916667,5040.703192,1355.175362,649.178251,0.706188,0.601648,0.158586,0.380344,191.555176,0.177366,0.325103,0.688547,4,3,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3 5:4 6:2 6:3,0/2/0/0,2,3,
56,486,6.578000,0,,0.827233,44.000000,30.000000,0.916667,4195.011895,1377.750572,650.936385,0.717952,0.603277,0.159911,0.382475,171.719482,0.159000,0.341085,0.709330,5,3,3:2 3:3 3:4 4:2 4:3 4:4 5:1 5:2 5:3 5:4 6:1 6:2 6:3,0/3/0/0,2,3,
57,488,6.687000,0,,0.859023,48.000000,31.000000,1.000000,4709.180222,1396.189634,654.047037,0.727561,0.606160,0.159915,0.383156,150.182007,0.139057,0.355117,0.726821,5,3,3:2 3:3 4:2 4:3 4:4 5:1 5:2 5:3 5:4 6:1 6:2 6:3,0/5/0/0,2,3,
58,490,6.797000,0,,0.860888,48.000000,31.000000,1.000000,5872.388164,1407.653086,658.528015,0.733535,0.610313,0.159813,0.383399,138.109253,0.127879,0.365260,0.739257,5,3,3:2 4:2 4:3 4:4 5:1 5:2 5:3 5:4 6:1 6:2 6:3 6:4,0/5/0/0,2,3,
59,492,6.922000,1,4,0.862174,48.000000,31.000000,1.000000,6142.612777,1410.559977,665.604794,0.735049,0.616872,0.159148,0.383020,134.139404,0.124203,0.371234,0.747826,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:1 6:2 6:3 6:4,0/5/0/0,2,3,0.247069
60,494,7.031000,0,,0.833324,44.000000,30.000000,0.916667,6192.719668,1410.170607,668.541857,0.734847,0.619594,0.158837,0.382894,135.592041,0.125548,0.372708,0.749938,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/5/0/0,2,3,
61,496,7.156000,0,,0.863061,48.000000,31.000000,1.000000,6024.310201,1413.337463,667.625039,0.736497,0.618744,0.156524,0.380988,132.696411,0.122867,0.374248,0.753740,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
62,498,7.281000,0,,0.862746,48.000000,31.000000,1.000000,5935.304680,1412.754621,666.911918,0.736193,0.618083,0.154117,0.378404,135.544067,0.125504,0.373446,0.751639,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
63,500,7.406000,0,,0.862707,48.000000,31.000000,1.000000,5879.048676,1413.563751,666.243450,0.736615,0.617464,0.152094,0.376349,136.286377,0.126191,0.373589,0.751377,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
64,502,7.531000,0,,0.862828,48.000000,31.000000,1.000000,5890.920477,1415.996501,666.385056,0.737882,0.617595,0.149498,0.373579,136.018433,0.125943,0.375278,0.752185,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
65,504,7.656000,0,,0.833922,44.000000,30.000000,0.916667,5780.803068,1418.574488,666.795523,0.739226,0.617975,0.148445,0.372615,134.230713,0.124288,0.377219,0.753925,5,3,3:2 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
66,506,7.781000,0,,0.834028,44.000000,30.000000,0.916667,5850.641986,1420.384128,665.770491,0.740169,0.617025,0.147048,0.371120,133.898804,0.123980,0.377826,0.754633,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
67,508,7.906000,0,,0.833987,44.000000,30.000000,0.916667,5682.209402,1421.159221,663.831050,0.740573,0.615228,0.146098,0.370307,133.537476,0.123646,0.377234,0.754360,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
68,510,8.031000,0,,0.834005,44.000000,30.000000,0.916667,5478.880859,1422.835094,661.022777,0.741446,0.612625,0.145440,0.369672,133.077515,0.123220,0.376778,0.754476,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
69,512,8.140000,0,,0.833970,44.000000,30.000000,0.916667,5482.942363,1422.875591,660.453370,0.741467,0.612098,0.143623,0.367550,135.281494,0.125261,0.376490,0.754248,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
70,514,8.265000,0,,0.833724,44.000000,30.000000,0.916667,5421.800239,1420.992792,660.554487,0.740486,0.612191,0.142245,0.365872,139.018555,0.128721,0.375288,0.752602,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
71,516,8.390000,0,,0.833374,44.000000,30.000000,0.916667,5071.103481,1421.187564,658.120922,0.740588,0.609936,0.140295,0.362500,144.723145,0.134003,0.374081,0.750271,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,3,3,
72,518,8.515000,1,5,0.862000,48.000000,31.000000,1.000000,4989.967794,1420.878993,653.751218,0.740427,0.605886,0.141524,0.361642,150.409912,0.139268,0.371529,0.746667,5,3,4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,2,3,0.506909
73,520,8.640000,0,,0.832653,44.000000,30.000000,0.916667,4873.457459,1421.218331,650.887214,0.740604,0.603232,0.143328,0.361643,154.646606,0.143191,0.370262,0.745465,5,3,4:1 4:2 4:3 4:4 5:2 5:3 5:4 6:2 6:3 6:4,0/6/0/0,2,3,
74,522,8.750000,0,,0.831835,44.000000,30.000000,0.916667,4491.244238,1417.944941,646.686608,0.738898,0.599339,0.145418,0.361369,166.477173,0.154146,0.365897,0.740013,5,2,4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/5/0/0,2,3,
75,524,8.875000,0,,0.860215,48.000000,31.000000,1.000000,4432.250856,1412.056307,643.370965,0.735829,0.596266,0.147282,0.362430,176.495605,0.163422,0.360229,0.734767,5,2,4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/5/0/0,2,3,
76,526,8.984000,0,,0.830279,44.000000,30.000000,0.916667,4705.880546,1403.630679,641.241272,0.731439,0.594292,0.150256,0.364469,189.524109,0.175485,0.353426,0.729639,5,2,3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/4/0/0,2,3,
77,528,9.109000,0,,0.859330,48.000000,31.000000,1.000000,4858.529467,1399.743332,641.019555,0.729413,0.594087,0.151825,0.365790,186.730591,0.172899,0.350664,0.728866,5,2,3:2 3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/3/0/0,2,3,
78,530,9.218000,0,,0.830008,44.000000,30.000000,0.916667,5013.425107,1396.971965,643.339239,0.727969,0.596237,0.151753,0.364909,183.532043,0.169937,0.349946,0.727834,5,2,3:2 3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/3/0/0,2,3,
79,532,9.343000,0,,0.830191,44.000000,30.000000,0.916667,4937.625347,1398.234855,644.926147,0.728627,0.597707,0.151039,0.364128,182.575989,0.169052,0.351616,0.729053,5,2,3:2 3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/3/0/0,2,3,
80,534,9.468000,0,,0.830024,44.000000,30.000000,0.916667,4917.570480,1399.923595,644.704011,0.729507,0.597501,0.149715,0.362235,183.121826,0.169557,0.352647,0.727935,5,2,3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/3/0/0,2,3,
81,536,9.578000,0,,0.829833,44.000000,30.000000,0.916667,4849.086620,1402.249415,640.426262,0.730719,0.593537,0.150248,0.363277,187.321167,0.173446,0.352080,0.726667,5,2,3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/3/0/0,2,3,
82,538,9.703000,0,,0.829417,44.000000,30.000000,0.916667,4921.965224,1401.689425,636.791091,0.730427,0.590168,0.150752,0.364095,191.191528,0.177029,0.349934,0.723894,5,2,3:3 4:1 4:2 4:3 5:2 5:3 5:4 6:2 6:3 6:4,0/3/0/0,2,3,
