frame,wall_ms,mode,success,message,det_valid,det_tracking,det_stable,det_corners,pose_corners,num_points,num_inliers,mean_err,max_err,confidence,persistent_count
384,86.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.197,0.738,0.980,35
385,85.4,TRACKING,1,Pose estimation successful.,1,1,1,35,35,35,35,0.182,0.454,0.982,35
386,85.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.236,0.700,0.976,35
387,84.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.224,0.657,0.978,35
388,84.6,TRACKING,1,Pose estimation successful.,1,1,1,35,35,35,35,0.191,0.587,0.981,35
389,84.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.189,0.571,0.981,35
390,87.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.183,0.426,0.982,35
391,85.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.197,0.510,0.980,35
392,85.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.191,0.413,0.981,35
393,86.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.356,0.977,0.964,35
394,86.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.239,0.479,0.976,35
395,85.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.183,0.393,0.982,35
396,84.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.177,0.344,0.982,35
397,84.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.146,0.318,0.985,35
398,86.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.341,0.765,0.966,35
399,87.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.143,0.351,0.986,35
400,84.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.235,0.694,0.977,35
401,84.9,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.208,0.448,0.979,35
402,84.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.447,0.837,0.955,35
403,85.4,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,26,26,26,26,0.594,1.845,0.732,35
404,87.4,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,0,0,30,30,30,30,0.299,0.649,0.825,35
405,97.0,TRACKING,1,Pose estimation successful.,1,1,0,35,25,25,25,0.146,0.385,0.885,25
406,94.4,TRACKING,1,Pose estimation successful.,1,1,0,33,24,25,24,0.735,1.723,0.806,24
407,86.1,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,0,0,29,20,20,20,0.204,0.458,0.663,24
408,94.9,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.399,0.812,0.960,35
409,84.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.478,0.958,0.952,35
410,85.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.560,1.386,0.944,35
411,85.8,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.617,1.641,0.938,35
412,86.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.473,1.039,0.953,35
413,84.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.409,0.941,0.959,35
414,87.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.477,1.302,0.952,35
415,87.5,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.459,1.088,0.954,35
416,85.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.499,1.028,0.950,35
417,84.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.426,1.131,0.957,35
418,84.5,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.386,0.940,0.961,35
419,84.7,TRACKING,1,Pose estimation successful.,1,1,1,35,35,35,35,0.393,1.067,0.961,35
420,86.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.485,1.161,0.951,35
421,84.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.369,0.919,0.963,35
422,85.7,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.383,1.062,0.962,35
423,86.6,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.333,1.030,0.967,35
424,86.0,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.367,0.952,0.963,35
425,85.4,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.295,0.724,0.971,35
426,85.2,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.277,0.621,0.972,35
427,86.1,TRACKING,1,Pose estimation successful.,1,1,0,35,35,35,35,0.282,0.688,0.972,35
428,85.4,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,18,18,18,18,0.169,0.596,0.632,35
429,78.7,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
430,72.7,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
431,72.7,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
432,72.2,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
433,72.6,RECOVERING,0,No valid checkerboard detection.,0,0,0,0,0,0,0,-1.000,-1.000,0.000,35
434,77.2,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,0,0,19,19,19,19,0.226,0.585,0.644,35
435,108.8,TRACKING,1,Pose estimated from persistent correspondences after: No valid decoded patches.,1,1,0,30,30,30,30,0.156,0.316,0.837,35
436,82.9,RECOVERING,0,No valid decoded patches.,1,1,0,30,0,0,0,-1.000,-1.000,0.000,35
437,86.4,RECOVERING,0,Too few correspondences: 3.,1,1,0,30,0,3,0,-1.000,-1.000,0.000,35
438,84.5,RECOVERING,0,Too few correspondences: 3.,1,1,0,30,0,3,0,-1.000,-1.000,0.000,35
439,86.0,RECOVERING,0,Too few correspondences: 3.,1,1,0,30,0,3,0,-1.000,-1.000,0.000,35
440,84.8,RECOVERING,0,Too few correspondences: 3.,1,1,0,30,0,3,0,-1.000,-1.000,0.000,35
441,83.9,TRACKING,1,Pose estimation successful.,1,1,0,30,28,28,28,0.085,0.188,0.951,28
442,87.1,TRACKING,1,Pose estimation successful.,1,1,0,30,30,30,30,0.100,0.187,0.990,30
