candidate_rank,frame_index,capture_time_s,used_for_calibration,selected_rank,score,num_charuco,num_aruco,corner_fraction,sharpness,centroid_u,centroid_v,centroid_u_norm,centroid_v_norm,bbox_area_norm,bbox_diag_norm,edge_margin_px,edge_margin_norm,radius_norm,grid_col,grid_row,corner_grid_cells,edge_corners_lrtb,radius_bin,size_bin,selected_reprojection_mean_px
22,284,2.500000,0,,0.731480,44.000000,30.000000,0.916667,5118.146831,1054.474337,530.498929,0.549492,0.491658,0.142568,0.355194,292.736023,0.271052,0.070979,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,
23,287,2.609000,1,0,0.761497,48.000000,31.000000,1.000000,5254.015172,1060.669164,525.946470,0.552720,0.487439,0.144489,0.357204,285.693420,0.264531,0.076644,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3,0/0/0/0,0,3,0.537421
24,290,2.719000,0,,0.764071,48.000000,31.000000,1.000000,3829.648867,1077.184783,512.222326,0.561326,0.474719,0.151927,0.365260,263.020477,0.243537,0.093808,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3 5:1,0/0/0/0,0,3,
25,292,2.812000,0,,0.751227,46.000000,30.000000,0.958333,3799.299136,1094.554295,513.026244,0.570377,0.475465,0.145481,0.359743,278.960266,0.258297,0.105404,3,2,2:1 2:2 2:3 3:1 3:2 3:3 4:1 4:2 4:3 5:1 5:2,0/0/0/0,0,3,
26,295,2.922000,0,,0.754513,46.000000,30.000000,0.958333,2957.387301,1110.881543,492.706710,0.578886,0.456633,0.145921,0.360306,259.730377,0.240491,0.127308,4,2,2:1 2:2 3:1 3:2 3:3 4:1 4:2 4:3 5:1 5:2 5:3,0/0/0/0,0,3,
27,298,3.047000,0,,0.757813,46.000000,30.000000,0.958333,3022.343906,1129.519137,477.543487,0.588598,0.442580,0.145853,0.359989,244.600510,0.226482,0.149309,4,2,2:2 3:1 3:2 3:3 4:1 4:2 4:3 5:1 5:2 5:3,0/0/0/0,0,3,
28,301,3.156000,0,,0.776532,48.000000,31.000000,1.000000,4200.484648,1137.481386,448.958283,0.592747,0.416087,0.152041,0.364836,198.791168,0.184066,0.176880,4,2,2:2 3:0 3:1 3:2 4:1 4:2 4:3 5:1 5:2 5:3,0/0/0/0,0,3,
29,304,3.266000,1,1,0.778985,48.000000,31.000000,1.000000,4384.968945,1144.317262,434.917217,0.596309,0.403074,0.149868,0.362512,188.280945,0.174334,0.193236,4,2,2:2 3:0 3:1 3:2 4:1 4:2 4:3 5:1 5:2 5:3,0/0/0/0,0,3,0.367798
30,306,3.359000,0,,0.766364,46.000000,30.000000,0.958333,4242.796015,1159.749363,429.495373,0.604351,0.398049,0.142738,0.356534,200.769684,0.185898,0.206315,4,1,2:2 3:0 3:1 3:2 4:0 4:1 4:2 4:3 5:1 5:2 5:3,0/0/0/0,0,3,
31,309,3.469000,0,,0.769167,46.000000,30.000000,0.958333,3990.966113,1168.007872,414.097176,0.608654,0.383779,0.145145,0.359649,183.798553,0.170184,0.225003,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:1 5:2 5:3,0/0/0/0,0,3,
32,311,3.562000,0,,0.772144,46.000000,30.000000,0.958333,4097.806985,1176.567653,398.073344,0.613115,0.368928,0.145854,0.360467,166.707413,0.154359,0.244846,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:1 5:2,0/0/0/0,0,3,
33,314,3.672000,0,,0.797371,48.000000,31.000000,1.000000,4162.716737,1172.850150,370.406124,0.611178,0.343286,0.153690,0.367429,121.032288,0.112067,0.271734,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:0 5:1 5:2,0/0/1/0,1,3,
34,317,3.781000,0,,0.782636,46.000000,30.000000,0.958333,3828.967995,1188.400202,355.685255,0.619281,0.329643,0.142452,0.356567,125.578651,0.116277,0.294106,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:0 5:1 5:2,0/0/1/0,1,3,
35,320,3.891000,1,2,0.838438,48.000000,31.000000,1.000000,3945.183418,1185.344796,326.784558,0.617689,0.302859,0.150305,0.363356,78.106621,0.072321,0.324701,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:0 5:1 5:2,0/0/4/0,1,3,0.411147
36,323,4.016000,1,3,0.817569,46.000000,30.000000,0.958333,3745.446402,1202.753699,319.152866,0.626761,0.295786,0.141567,0.355362,89.210373,0.082602,0.339917,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:0 5:1 5:2,0/0/3/0,1,3,0.411404
37,326,4.125000,0,,0.800214,44.000000,29.000000,0.916667,3768.868857,1215.080371,303.395210,0.633184,0.281182,0.135206,0.350416,89.158737,0.082554,0.362269,4,1,3:0 3:1 3:2 4:0 4:1 4:2 5:0 5:1 5:2,0/0/5/0,1,3,
